MSSV,All,Count
22520394,All,1683.5
22520395,All,1683.5
22520779,All,1365.0
22521587,All,1365.0
22521070,All,1230.0
22520211,All,1230.0
22521425,All,73.0
22520318,All,73.0
22521492,All,378.0
22521599,All,378.0
22521586,All,723.0
22521559,All,723.0
22520914,All,355.0
22520915,All,356.0
21522500,All,507.5
21522771,All,507.5
22521027,All,3989.67
22520195,All,3989.67
22521060,All,3989.67
22521692,All,620.0
22521676,All,620.0
22520477,All,290.5
22520490,All,290.5
21522373,All,350.0
21522499,All,350.5
22521560,All,249.5
22521614,All,249.5
22520348,All,156.67
22520530,All,156.67
22520837,All,156.67
22521463,All,114.67
22521213,All,114.67
22521259,All,114.67
22520223,All,114.5
22520213,All,114.5
22520550,All,102.0
22520967,All,102.0
2252014,All,1.0
22521342,All,999.5
22520970,All,999.5
20520918,All,240.0
22521465,All,88.0
22520811,All,88.0
22520683,All,88.0
22520459,All,1259.67
22520507,All,1259.67
22520862,All,1259.67
22520521,All,145.5
22520884,All,145.5
21520930,All,348.0
21522924,All,1044.0
21520938,All,523.0
22520634,All,523.0
215223773,All,0.5
22520581,All,100.0
