MSSV,Brand,Count
22520394,Honda,193.5
22520394,Hyundai,126.5
22520394,KIA,188.5
22520394,Mazda,160.5
22520394,Mitsubishi,211.0
22520394,Others,305.0
22520394,Suzuki,233.0
22520394,Toyota,183.0
22520394,VinFast,82.5
22520395,Honda,193.5
22520395,Hyundai,126.5
22520395,KIA,188.5
22520395,Mazda,160.5
22520395,Mitsubishi,211.0
22520395,Others,305.0
22520395,Suzuki,233.0
22520395,Toyota,183.0
22520395,VinFast,82.5
22520779,Honda,100.0
22520779,Hyundai,186.5
22520779,KIA,175.5
22520779,Mazda,193.5
22520779,Mitsubishi,55.5
22520779,Others,509.5
22520779,Suzuki,52.5
22520779,Toyota,41.0
22520779,VinFast,51.0
22521587,Honda,100.0
22521587,Hyundai,186.5
22521587,KIA,175.5
22521587,Mazda,193.5
22521587,Mitsubishi,55.5
22521587,Others,509.5
22521587,Suzuki,52.5
22521587,Toyota,41.0
22521587,VinFast,51.0
22521070,Honda,154.0
22521070,Hyundai,197.0
22521070,KIA,141.5
22521070,Mazda,99.5
22521070,Mitsubishi,91.0
22521070,Others,188.5
22521070,Suzuki,96.5
22521070,Toyota,123.5
22521070,VinFast,138.5
22520211,Honda,154.0
22520211,Hyundai,197.0
22520211,KIA,141.5
22520211,Mazda,99.5
22520211,Mitsubishi,91.0
22520211,Others,188.5
22520211,Suzuki,96.5
22520211,Toyota,123.5
22520211,VinFast,138.5
22521425,Honda,5.0
22521425,Hyundai,5.0
22521425,KIA,5.0
22521425,Mazda,5.0
22521425,Mitshubisi,15.0
22521425,Others,8.5
22521425,Suzuki,15.0
22521425,VinFast,14.5
22520318,Honda,5.0
22520318,Hyundai,5.0
22520318,KIA,5.0
22520318,Mazda,5.0
22520318,Mitshubisi,15.0
22520318,Others,8.5
22520318,Suzuki,15.0
22520318,VinFast,14.5
22521492,Honda,22.0
22521492,Hyundai,19.5
22521492,KIA,16.5
22521492,Mazda,47.0
22521492,Mitsubishi,54.5
22521492,Others,77.5
22521492,Suzuki,27.0
22521492,Toyota,48.0
22521492,VinFast,66.0
22521599,Honda,22.0
22521599,Hyundai,19.5
22521599,KIA,16.5
22521599,Mazda,47.0
22521599,Mitsubishi,54.5
22521599,Others,77.5
22521599,Suzuki,27.0
22521599,Toyota,48.0
22521599,VinFast,66.0
22521586,Honda,54.5
22521586,Hyundai,46.5
22521586,KIA,66.5
22521586,Mazda,143.5
22521586,Mitsubishi,77.0
22521586,Others,124.5
22521586,Suzuki,50.5
22521586,Toyota,119.0
22521586,VinFast,41.0
22521559,Honda,54.5
22521559,Hyundai,46.5
22521559,KIA,66.5
22521559,Mazda,143.5
22521559,Mitsubishi,77.0
22521559,Others,124.5
